disaster_type,latitude,longitude,avg_temperature,rainfall_mm,humidity_percent,wind_speed_kmph,atmospheric_pressure_hpa,soil_moisture_percent,seismic_activity_richter,elevation_meters,month
Drought,-22.5828,162.2572,41.0,6.0,8.9,8.1,1001.5,17.3,0.9,354.0,6
No Disaster,-79.8459,79.9196,24.1,0.0,59.8,12.3,1008.3,30.2,0.0,524.8,10
No Disaster,-81.6002,170.552,13.5,1.8,48.6,7.6,1019.5,44.0,1.7,680.3,9
No Disaster,-78.2907,161.5988,24.5,16.2,39.1,2.0,1010.5,43.2,0.2,495.2,3
Wildfire,73.6777,-86.8392,44.9,3.1,12.8,37.3,995.5,29.1,1.6,1421.3,4
Landslide,17.622,151.8747,11.3,199.0,71.4,9.8,987.5,78.1,5.3,1713.5,12
Heatwave,19.2662,-80.6403,43.0,0.3,5.3,6.4,1015.9,5.9,0.0,159.1,8
No Disaster,41.2213,97.6573,11.1,7.2,33.5,17.3,1008.7,39.9,0.1,311.0,8
Earthquake,29.866,32.8672,15.5,28.1,43.0,19.4,1019.7,58.9,6.4,512.1,11
No Disaster,4.0919,-26.0852,10.4,2.2,30.9,12.7,999.4,45.3,1.8,249.3,11
No Disaster,-53.449,159.4273,19.0,13.9,56.4,12.5,998.9,33.2,0.9,218.4,4
Hurricane,70.6606,14.1632,33.1,284.4,83.0,116.5,941.4,67.1,1.6,86.1,7
No Disaster,-60.3619,12.2722,17.3,13.8,38.1,4.9,995.0,36.6,1.1,403.8,1
No Disaster,-44.2952,-91.1246,20.4,14.2,34.4,20.0,998.0,59.3,0.8,33.1,1
Drought,24.1832,65.054,38.0,4.5,18.8,16.9,1002.0,7.4,0.4,401.6,5
Hurricane,23.815,48.0707,30.4,163.5,95.9,148.1,939.3,51.6,1.2,67.8,3
No Disaster,38.0069,111.4204,15.2,1.9,58.2,8.0,1005.5,55.1,1.4,735.2,2
Drought,76.4449,135.8422,33.9,6.6,25.4,16.1,1013.2,4.8,0.1,448.6,5
Tsunami,68.8745,-112.0654,22.8,21.0,85.4,17.1,1002.1,64.4,9.1,46.8,4
No Disaster,71.7398,38.3145,10.1,2.0,49.9,0.1,994.8,46.5,1.4,652.0,9
Tsunami,-58.3335,-173.4929,24.9,5.4,71.0,14.9,1011.6,35.4,8.4,25.4,6
Landslide,-42.2636,-92.1637,24.6,248.3,96.8,18.9,1005.8,85.1,4.3,1985.0,5
Flood,-48.5667,-0.2904,23.6,430.6,71.3,39.8,994.1,71.2,2.2,74.8,5
No Disaster,77.0973,-25.8537,24.5,19.3,55.6,5.9,1001.6,55.5,0.6,169.5,9
Blizzard,-18.9555,123.9167,-2.1,0.7,68.4,60.3,992.6,70.2,0.4,712.8,8
Flood,35.4628,72.8943,20.4,288.1,94.3,34.3,1006.0,96.5,1.3,50.2,4
No Disaster,26.9935,72.7081,21.9,17.8,40.1,7.5,992.8,47.3,0.1,465.6,6
No Disaster,16.35,-169.0199,10.6,16.5,40.8,2.5,1005.7,53.1,0.4,622.9,4
Volcanic Eruption,61.5642,-110.0232,13.2,35.0,28.3,5.3,1017.9,68.6,4.2,2196.5,3
Drought,-10.9851,-151.7557,30.4,9.6,25.9,18.9,1010.2,3.5,0.2,125.1,6
Tsunami,38.6273,57.6711,22.8,28.6,82.1,11.1,1008.4,41.0,7.6,17.8,5
Wildfire,-68.3704,-56.9233,36.4,0.9,9.7,59.0,995.3,0.5,1.5,1249.0,4
Hurricane,-58.8237,-23.8134,29.0,242.4,90.9,106.8,948.7,75.0,1.0,85.6,5
Blizzard,33.1135,41.7064,-1.7,9.4,94.7,58.2,1008.0,87.1,0.9,344.2,3
Flood,57.7151,45.3383,27.3,395.4,76.2,18.2,986.4,75.1,0.1,61.8,7
Hurricane,-77.186,-65.1688,33.4,153.5,95.4,142.3,935.9,77.9,1.3,87.7,4
Tsunami,-14.7697,168.329,25.5,12.7,77.1,11.5,1011.9,26.4,7.6,29.0,7
Drought,77.5363,129.0286,36.4,7.5,23.9,7.1,1022.6,10.1,1.2,160.0,11
Volcanic Eruption,-72.0027,-160.7453,24.2,42.4,41.3,38.3,997.4,59.3,6.5,1249.9,5
Hurricane,-37.2221,-61.6808,31.7,262.9,94.8,218.4,934.6,69.8,0.1,55.0,5
Landslide,42.6664,16.5297,20.6,392.2,90.6,25.1,1009.0,95.2,3.7,1445.2,9
No Disaster,57.9348,74.2472,11.2,1.7,59.6,7.5,1001.1,54.4,1.9,986.0,4
No Disaster,-26.9607,74.9452,17.2,7.6,51.2,5.0,999.9,43.0,0.5,405.2,10
No Disaster,43.3753,96.1901,22.3,14.9,50.4,4.8,1002.0,44.3,0.2,528.4,5
No Disaster,83.3801,-175.6244,24.5,0.9,56.7,10.6,1019.8,32.2,1.1,969.3,2
No Disaster,-60.0812,-101.9487,14.4,19.9,50.9,7.7,1012.1,57.5,1.9,57.9,6
No Disaster,-7.9818,43.2477,14.2,3.8,43.9,7.1,1007.5,32.3,1.9,986.2,6
No Disaster,-84.1831,-79.2851,16.2,12.1,38.1,2.7,992.3,58.2,0.8,581.2,9
Drought,-14.7163,155.7823,43.0,0.5,5.7,12.5,1020.3,19.7,0.2,297.1,9
Flood,84.5846,123.1628,27.6,340.6,82.4,18.2,981.7,94.6,2.0,100.0,6
Flood,74.3698,30.6538,25.9,427.1,81.3,17.2,986.2,70.1,0.7,20.7,1
No Disaster,30.9061,42.5262,15.4,2.3,50.1,10.4,1013.2,45.6,1.7,551.9,5
No Disaster,-74.0865,105.0544,18.8,9.6,42.6,15.7,1009.2,54.2,1.8,617.3,2
Heatwave,-26.8942,32.3704,43.9,0.9,23.1,5.2,1017.7,15.7,0.4,497.7,3
Drought,35.5755,106.7298,36.9,8.4,24.2,6.3,1001.1,12.4,0.5,104.6,11
Drought,-46.7738,-152.6892,31.9,1.3,8.8,7.8,1016.0,3.6,0.5,448.4,3
No Disaster,2.7425,170.3197,19.0,4.5,54.7,6.9,1000.4,31.0,1.1,534.4,12
Wildfire,-52.8599,-48.8629,42.6,6.9,5.6,50.0,1008.8,2.5,1.7,1397.1,1
